 C O N T R O L   I N F O R M A T I O N

      NUMBER OF NODAL POINTS . . . . . . . (NUMNP)  =        845
      NUMBER OF ELEMENT GROUPS . . . . . . (NUMEG)  =          1
      NUMBER OF LOAD CASES . . . . . . . . (NLCASE) =          1
      SOLUTION MODE  . . . . . . . . . . . (MODEX)  =          1


 D I S P L A C E M E N T S (Final State)

    NODE           X-DISPLACEMENT    Y-DISPLACEMENT    Z-DISPLACEMENT
       1         0.000000e+00      0.000000e+00      0.000000e+00
       2         0.000000e+00      0.000000e+00      0.000000e+00
       3         5.663165e-06      1.959049e-06     -6.678520e-09
       4         0.000000e+00      0.000000e+00      0.000000e+00
       5         0.000000e+00      0.000000e+00      0.000000e+00
       6         0.000000e+00      0.000000e+00      0.000000e+00
       7         0.000000e+00      0.000000e+00      0.000000e+00
       8        -3.997262e-06      4.253454e-06      1.322199e-06
       9        -2.039136e-06      4.727006e-06      1.134227e-06
      10         0.000000e+00      0.000000e+00      0.000000e+00
      11         0.000000e+00      0.000000e+00      0.000000e+00
      12         5.654926e-06     -1.781160e-06     -2.219898e-07
      13         0.000000e+00      0.000000e+00      0.000000e+00
      14         0.000000e+00      0.000000e+00      0.000000e+00
      15        -3.989670e-06     -4.071761e-06      1.629302e-06
      16         0.000000e+00      0.000000e+00      0.000000e+00
      17        -1.541785e-06     -4.957981e-06      1.367693e-06
      18        -2.373229e-06     -3.772917e-07      2.144853e-06
      19         0.000000e+00      0.000000e+00      0.000000e+00
      20         0.000000e+00      0.000000e+00      0.000000e+00
      21         0.000000e+00      0.000000e+00      0.000000e+00
      22        -4.438193e-06      1.857678e-06      1.893684e-06
      23        -4.541058e-06     -2.085516e-06      1.861385e-06
      24        -5.998487e-06     -1.884863e-08      2.234033e-06
      25         0.000000e+00      0.000000e+00      0.000000e+00
      26         0.000000e+00      0.000000e+00      0.000000e+00
      27         1.060679e-06      1.800092e-06      1.438398e-06
      28         2.094810e-06      5.796084e-06     -8.841443e-08
      29         4.976081e-06      4.624328e-06     -2.406960e-07
      30         0.000000e+00      0.000000e+00      0.000000e+00
      31         0.000000e+00      0.000000e+00      0.000000e+00
      32         0.000000e+00      0.000000e+00      0.000000e+00
      33        -2.190178e-06     -6.429566e-06      2.659961e-06
      34        -1.595330e-06     -2.703360e-06      2.340496e-06
      35        -9.467148e-07      4.833649e-07      2.912555e-06
      36         0.000000e+00      0.000000e+00      0.000000e+00
      37         0.000000e+00      0.000000e+00      0.000000e+00
      38         0.000000e+00      0.000000e+00      0.000000e+00
      39         0.000000e+00      0.000000e+00      0.000000e+00
      40         0.000000e+00      0.000000e+00      0.000000e+00
      41         3.346791e-07      7.136603e-06      8.800709e-07
      42         9.315734e-07      4.055336e-06      1.919419e-06
      43         3.331121e-06      1.587262e-06      1.658178e-06
      44         7.348796e-06     -1.098549e-07      2.819488e-07
      45         3.284260e-06     -1.861281e-06      1.861660e-06
      46         0.000000e+00      0.000000e+00      0.000000e+00
      47         0.000000e+00      0.000000e+00      0.000000e+00
      48         3.424703e-07     -6.377844e-06      1.733108e-06
      49         0.000000e+00      0.000000e+00      0.000000e+00
      50         2.110033e-06     -5.083242e-06      8.101167e-07
