 C O N T R O L   I N F O R M A T I O N

      NUMBER OF NODAL POINTS . . . . . . . (NUMNP)  =        164
      NUMBER OF ELEMENT GROUPS . . . . . . (NUMEG)  =          2
      NUMBER OF LOAD CASES . . . . . . . . (NLCASE) =          1
      SOLUTION MODE  . . . . . . . . . . . (MODEX)  =          1


 D I S P L A C E M E N T S (Final State)

    NODE           X-DISPLACEMENT    Y-DISPLACEMENT    Z-DISPLACEMENT
       1         0.000000e+00      0.000000e+00      0.000000e+00
       2         0.000000e+00      0.000000e+00      0.000000e+00
       3         1.984865e-02      0.000000e+00      0.000000e+00
       4         1.984971e-02      0.000000e+00      0.000000e+00
       5         1.618102e-05     -9.131940e-03     -1.313926e-08
       6         1.618073e-05     -9.132404e-03     -1.313848e-08
       7         1.984865e-02     -7.973269e-03      0.000000e+00
       8         1.984971e-02     -7.973681e-03      0.000000e+00
       9         4.776143e-05     -1.809379e-02     -2.840515e-08
      10         4.776157e-05     -1.809472e-02     -2.840403e-08
      11         1.971991e-02     -1.699121e-02      0.000000e+00
      12         1.972096e-02     -1.699209e-02      0.000000e+00
      13         9.390046e-05     -2.683066e-02     -4.417064e-08
      14         9.390174e-05     -2.683205e-02     -4.416909e-08
      15         1.946866e-02     -2.578828e-02      0.000000e+00
      16         1.946970e-02     -2.578961e-02      0.000000e+00
      17         1.537671e-04     -3.530061e-02     -5.988530e-08
      18         1.537702e-04     -3.530244e-02     -5.988334e-08
      19         1.910159e-02     -3.431772e-02      0.000000e+00
      20         1.910262e-02     -3.431951e-02      0.000000e+00
      21         2.265287e-04     -4.346241e-02     -7.533373e-08
      22         2.265343e-04     -4.346468e-02     -7.533138e-08
      23         1.862532e-02     -4.253914e-02      0.000000e+00
      24         1.862632e-02     -4.254136e-02      0.000000e+00
      25         3.113530e-04     -5.127762e-02     -9.040334e-08
      26         3.113617e-04     -5.128032e-02     -9.040062e-08
      27         1.804646e-02     -5.041394e-02      0.000000e+00
      28         1.804743e-02     -5.041659e-02      0.000000e+00
      29         4.074078e-04     -5.871024e-02     -1.050112e-07
      30         4.074204e-04     -5.871335e-02     -1.050082e-07
      31         1.737163e-02     -5.790614e-02      0.000000e+00
      32         1.737257e-02     -5.790921e-02      0.000000e+00
      33         5.138610e-04     -6.572675e-02     -1.190810e-07
      34         5.138779e-04     -6.573025e-02     -1.190775e-07
      35         1.660746e-02     -6.498224e-02      0.000000e+00
      36         1.660836e-02     -6.498569e-02      0.000000e+00
      37         6.298804e-04     -7.229613e-02     -1.325349e-07
      38         6.299023e-04     -7.229999e-02     -1.325311e-07
      39         1.576057e-02     -7.161119e-02      0.000000e+00
      40         1.576142e-02     -7.161502e-02      0.000000e+00
      41         7.546340e-04     -7.838982e-02     -1.452920e-07
      42         7.546613e-04     -7.839403e-02     -1.452879e-07
      43         1.483757e-02     -7.776445e-02      0.000000e+00
      44         1.483838e-02     -7.776863e-02      0.000000e+00
      45         8.872898e-04     -8.398176e-02     -1.572672e-07
      46         8.873231e-04     -8.398629e-02     -1.572628e-07
      47         1.384509e-02     -8.341596e-02      0.000000e+00
      48         1.384585e-02     -8.342046e-02      0.000000e+00
