 C O N T R O L   I N F O R M A T I O N

      NUMBER OF NODAL POINTS . . . . . . . (NUMNP)  =        126
      NUMBER OF ELEMENT GROUPS . . . . . . (NUMEG)  =          2
      NUMBER OF LOAD CASES . . . . . . . . (NLCASE) =          1
      SOLUTION MODE  . . . . . . . . . . . (MODEX)  =          1


 D I S P L A C E M E N T S (Final State)

    NODE           X-DISPLACEMENT    Y-DISPLACEMENT    Z-DISPLACEMENT
       1         0.000000e+00      0.000000e+00      0.000000e+00
       2         0.000000e+00      0.000000e+00      0.000000e+00
       3         0.000000e+00      0.000000e+00      0.000000e+00
       4         0.000000e+00      0.000000e+00      0.000000e+00
       5         7.904716e-03     -7.103576e-05      0.000000e+00
       6         7.904716e-03     -7.103576e-05      0.000000e+00
       7         1.195046e-05     -1.243188e-03     -3.413334e-18
       8         1.195046e-05     -1.243188e-03     -3.413524e-18
       9         2.390085e-05     -3.737767e-03     -1.100446e-17
      10         2.390085e-05     -3.737767e-03     -1.100485e-17
      11         3.585136e-05     -6.298000e-03     -1.880028e-17
      12         3.585136e-05     -8.269639e-03     -1.880030e-17
      13         3.585136e-05     -8.269639e-03     -1.880031e-17
      14         3.585136e-05     -6.298000e-03     -1.880032e-17
      15         7.665197e-03     -6.269667e-03      6.622375e-03
      16         7.665197e-03     -6.269667e-03     -6.622375e-03
      17         7.047978e-05     -8.647500e-03     -2.767339e-17
      18         7.047978e-05     -8.647500e-03     -2.767569e-17
      19         1.051077e-04     -1.051480e-02     -3.849889e-17
      20         1.051077e-04     -1.051480e-02     -3.850401e-17
      21         1.397361e-04     -1.205488e-02     -4.730782e-17
      22         1.397361e-04     -1.441530e-02     -4.730783e-17
      23         1.397361e-04     -1.441530e-02     -4.730784e-17
      24         1.397361e-04     -1.205488e-02     -4.730785e-17
      25         6.927333e-03     -1.200658e-02      8.371867e-03
      26         6.927333e-03     -1.200658e-02     -8.371867e-03
      27         1.932785e-04     -1.387188e-02     -5.583051e-17
      28         1.932785e-04     -1.387188e-02     -5.582922e-17
      29         2.468200e-04     -1.551091e-02     -6.579986e-17
      30         2.468200e-04     -1.551091e-02     -6.580514e-17
      31         3.003624e-04     -1.687172e-02     -7.325074e-17
      32         3.003624e-04     -1.933484e-02     -7.325072e-17
      33         3.003624e-04     -1.933484e-02     -7.325069e-17
      34         3.003624e-04     -1.687172e-02     -7.325067e-17
      35         5.788779e-03     -1.681219e-02      8.834010e-03
      36         5.788779e-03     -1.681219e-02     -8.834010e-03
      37         3.680151e-04     -1.837382e-02     -8.004342e-17
      38         3.680151e-04     -1.837382e-02     -8.004490e-17
      39         4.356667e-04     -1.959480e-02     -8.805775e-17
      40         4.356667e-04     -1.959480e-02     -8.807265e-17
      41         5.033193e-04     -2.050488e-02     -9.335779e-17
      42         5.033193e-04     -2.299509e-02     -9.335769e-17
      43         5.033193e-04     -2.299509e-02     -9.335758e-17
      44         5.033193e-04     -2.050488e-02     -9.335747e-17
      45         4.351900e-03     -2.043603e-02      8.955953e-03
      46         4.351900e-03     -2.043603e-02     -8.955953e-03
      47         5.803906e-04     -2.155664e-02     -9.782243e-17
      48         5.803906e-04     -2.155664e-02     -9.779395e-17
