 C O N T R O L   I N F O R M A T I O N

      NUMBER OF NODAL POINTS . . . . . . . (NUMNP)  =        466
      NUMBER OF ELEMENT GROUPS . . . . . . (NUMEG)  =          1
      NUMBER OF LOAD CASES . . . . . . . . (NLCASE) =          1
      SOLUTION MODE  . . . . . . . . . . . (MODEX)  =          1


 D I S P L A C E M E N T S (Final State)

    NODE           X-DISPLACEMENT    Y-DISPLACEMENT    Z-DISPLACEMENT
       1        -3.249133e-03      2.899468e-03     -1.136893e-04
       2        -3.528768e-03      2.743460e-03     -1.131302e-04
       3        -3.533351e-03      2.423153e-03     -1.113296e-04
       4        -3.258327e-03      2.258796e-03     -1.100975e-04
       5        -2.978736e-03      2.414839e-03     -1.100405e-04
       6        -2.974155e-03      2.735097e-03     -1.121414e-04
       7         0.000000e+00      0.000000e+00      0.000000e+00
       8         0.000000e+00      0.000000e+00      0.000000e+00
       9         0.000000e+00      0.000000e+00      0.000000e+00
      10         0.000000e+00      0.000000e+00      0.000000e+00
      11         0.000000e+00      0.000000e+00      0.000000e+00
      12         0.000000e+00      0.000000e+00      0.000000e+00
      13        -1.306341e-06      4.767656e-07      2.309821e-06
      14        -9.555556e-07     -3.311398e-07      3.327220e-06
      15        -2.720305e-07     -2.901728e-06      4.751086e-06
      16         6.900729e-07     -6.956674e-06      5.120750e-06
      17         1.958184e-06     -1.320446e-05      5.003409e-06
      18         2.834056e-06     -2.289407e-05      3.564935e-06
      19         3.422448e-06     -3.333073e-05      1.630226e-06
      20         3.056932e-06     -4.768805e-05     -2.020256e-06
      21         1.502459e-06     -5.820144e-05     -6.319479e-06
      22        -1.483661e-06     -6.408124e-05     -1.186161e-05
      23        -5.266170e-06     -6.582922e-05     -1.676878e-05
      24        -1.057738e-05     -5.978720e-05     -2.175135e-05
      25        -1.707459e-05     -4.799264e-05     -2.500281e-05
      26        -2.415581e-05     -2.711516e-05     -2.836882e-05
      27        -3.019330e-05      2.544727e-06     -3.184513e-05
      28        -3.867781e-05      4.282943e-05     -3.447569e-05
      29        -4.702762e-05      8.977213e-05     -3.629389e-05
      30        -5.563352e-05      1.459778e-04     -3.787485e-05
      31        -6.482963e-05      2.108423e-04     -3.918966e-05
      32        -7.461768e-05      2.802872e-04     -3.951390e-05
      33        -8.446971e-05      3.516143e-04     -3.999493e-05
      34        -9.447721e-05      4.189519e-04     -4.092017e-05
      35        -1.047120e-04      4.800006e-04     -4.134156e-05
      36        -1.154921e-04      5.308399e-04     -4.178678e-05
      37        -1.264378e-04      5.668609e-04     -4.154200e-05
      38        -1.372414e-04      5.854942e-04     -4.119331e-05
      39        -1.478495e-04      5.861011e-04     -4.074892e-05
      40        -1.586501e-04      5.670369e-04     -4.060551e-05
      41        -1.690113e-04      5.288905e-04     -3.973482e-05
      42        -1.793269e-04      4.735237e-04     -3.959165e-05
      43        -1.894610e-04      4.025505e-04     -3.960763e-05
      44        -2.007472e-04      3.215812e-04     -4.079384e-05
      45        -2.113793e-04      2.349490e-04     -4.153997e-05
      46        -2.222576e-04      1.461863e-04     -4.295533e-05
      47        -2.339429e-04      6.408176e-05     -4.516679e-05
      48        -2.465770e-04     -9.739536e-06     -4.855173e-05
