 C O N T R O L   I N F O R M A T I O N

      NUMBER OF NODAL POINTS . . . . . . . (NUMNP)  =        102
      NUMBER OF ELEMENT GROUPS . . . . . . (NUMEG)  =          1
      NUMBER OF LOAD CASES . . . . . . . . (NLCASE) =          1
      SOLUTION MODE  . . . . . . . . . . . (MODEX)  =          1


 D I S P L A C E M E N T S (Final State)

    NODE           X-DISPLACEMENT    Y-DISPLACEMENT    Z-DISPLACEMENT
       1         0.000000e+00      0.000000e+00      0.000000e+00
       2         1.987783e-02      0.000000e+00      0.000000e+00
       3         6.265807e-04      0.000000e+00      0.000000e+00
       4        -2.827857e-02      0.000000e+00      0.000000e+00
       5        -2.722265e-02      0.000000e+00      0.000000e+00
       6         1.464829e-02      0.000000e+00      0.000000e+00
       7         3.829370e-02      0.000000e+00      0.000000e+00
       8         1.280738e-02      0.000000e+00      0.000000e+00
       9        -3.407611e-02      0.000000e+00      0.000000e+00
      10        -5.631897e-02      0.000000e+00      0.000000e+00
      11        -2.608078e-02      0.000000e+00      0.000000e+00
      12         2.224364e-02      0.000000e+00      0.000000e+00
      13         4.805770e-02      0.000000e+00      0.000000e+00
      14         1.949834e-02      0.000000e+00      0.000000e+00
      15        -4.451206e-02      0.000000e+00      0.000000e+00
      16        -8.029522e-02      0.000000e+00      0.000000e+00
      17        -4.768453e-02      0.000000e+00      0.000000e+00
      18         2.527336e-02      0.000000e+00      0.000000e+00
      19         6.436595e-02      0.000000e+00      0.000000e+00
      20         2.852058e-02      0.000000e+00      0.000000e+00
      21        -4.928555e-02      0.000000e+00      0.000000e+00
      22        -9.810139e-02      0.000000e+00      0.000000e+00
      23        -7.546469e-02      0.000000e+00      0.000000e+00
      24         1.295338e-02      0.000000e+00      0.000000e+00
      25         7.882789e-02      0.000000e+00      0.000000e+00
      26         5.334992e-02      0.000000e+00      0.000000e+00
      27        -4.750452e-02      0.000000e+00      0.000000e+00
      28        -1.254620e-01      0.000000e+00      0.000000e+00
      29        -9.755364e-02      0.000000e+00      0.000000e+00
      30         3.861039e-03      0.000000e+00      0.000000e+00
      31         8.344175e-02      0.000000e+00      0.000000e+00
      32         6.120930e-02      0.000000e+00      0.000000e+00
      33        -4.902113e-02      0.000000e+00      0.000000e+00
      34        -1.365257e-01      0.000000e+00      0.000000e+00
      35        -9.942355e-02      0.000000e+00      0.000000e+00
      36         1.725585e-02      0.000000e+00      0.000000e+00
      37         9.252671e-02      0.000000e+00      0.000000e+00
      38         3.617104e-02      0.000000e+00      0.000000e+00
      39        -1.017631e-01      0.000000e+00      0.000000e+00
      40        -1.799896e-01      0.000000e+00      0.000000e+00
      41        -9.936874e-02      0.000000e+00      0.000000e+00
      42         7.645862e-02      0.000000e+00      0.000000e+00
      43         1.760336e-01      0.000000e+00      0.000000e+00
      44         8.199538e-02      0.000000e+00      0.000000e+00
      45        -1.229948e-01      0.000000e+00      0.000000e+00
      46        -2.469625e-01      0.000000e+00      0.000000e+00
      47        -1.717210e-01      0.000000e+00      0.000000e+00
      48         3.063692e-02      0.000000e+00      0.000000e+00
      49         1.479048e-01      0.000000e+00      0.000000e+00
      50         3.776414e-02      0.000000e+00      0.000000e+00
